unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,HepB_BD,20,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,HepB_BD,99,99,99,99,97,97,99,98,98,98,99,99,99,98,99,98,98,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,HepB_BD,99,99,99,99,99,99,99,99,99,99,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,HepB_BD,94,94,94,96,95,93,94,94,98,98,98,97,97,96,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,HepB_BD,81,84,87,85,88,85,79,81,79,76,72,71,65,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,HepB_BD,98,98,98,98,95,95,94,92,91,92,92,93,94,95,95,96,97,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,HepB_BD,99,99,99,99,98,99,98,95,92,88,86,82,82,83,82,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,HepB_BD,99,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,HepB_BD,98,98,99,99,98,98,98,98,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,HepB_BD,82,78,78,64,60,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,HepB_BD,91,91,88,89,90,91,92,92,93,94,95,94,92,91,93,95,99,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,HepB_BD,99,99,99,99,95,95,96,99,99,99,97,96,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,HepB_BD,96,97,98,98,98,99,98,98,98,98,99,99,98,98,96,99,98,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,HepB_BD,96,93,99,94,99,99,99,91,81,84,68,68,75,76,77,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,HepB_BD,80,81,84,55,62,65,54,52,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,CAN,Canada,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CAF,Central African Republic,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TCD,Chad,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CHL,Chile,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,CHN,China,HepB_BD,96,96,94,99,96,95,92,93,91,86,88,86,76,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,COM,Comoros,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,COK,Cook Islands,HepB_BD,99,99,99,98,97,97,99,99,99,99,99,99,99,99,99,99,76,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,HepB_BD,91,90,89,90,90,88,86,87,87,88,88,89,89,86,87,87,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Côte d’Ivoire,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,HepB_BD,,,98,98,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CZE,Czech Republic,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People’s Republic of Korea,HepB_BD,98,97,99,99,99,99,99,98,97,96,94,94,99,28,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,HepB_BD,90,92,94,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
