unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,Hib3,65,65,62,64,67,68,66,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,Hib3,98,99,98,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,Hib3,91,95,95,95,95,95,95,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,Hib3,98,97,97,96,98,99,98,97,98,95,93,97,95,91,92,92,90,80,55,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,Hib3,64,64,64,77,75,72,77,61,69,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,Hib3,99,99,99,99,98,99,98,94,97,99,99,99,97,97,97,97,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,Hib3,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,49,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,Hib3,94,94,93,95,95,95,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,Hib3,94,93,91,91,92,92,92,94,94,94,95,94,95,95,95,95,90,87,82,77,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,Hib3,87,93,98,95,92,89,86,83,83,85,83,86,83,84,82,74,72,74,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,Hib3,97,96,94,93,89,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,Hib3,94,95,96,97,98,98,98,96,94,95,95,93,93,93,94,99,90,78,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,Hib3,99,98,98,99,99,99,99,97,97,97,98,98,98,97,98,99,97,96,39,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,Hib3,97,97,97,96,94,87,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,Hib3,97,97,94,91,87,91,86,93,85,93,84,92,93,88,66,18,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,Hib3,11,9,20,23,22,21,,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,Hib3,97,98,98,98,98,98,98,98,98,98,98,95,87,87,86,86,86,59,33,6,10,13,16,20,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,Hib3,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,Hib3,82,82,78,77,80,75,76,79,75,82,74,35,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,Hib3,98,99,99,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),Hib3,99,99,98,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,Hib3,69,78,79,83,87,85,83,80,83,83,82,50,49,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,Hib3,95,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,Hib3,86,96,95,98,95,99,99,99,99,98,97,96,95,94,93,93,90,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,Hib3,99,99,96,99,99,97,95,99,98,99,97,94,92,92,94,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,Hib3,92,87,83,95,95,95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,Hib3,91,91,91,88,90,91,91,92,93,89,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,Hib3,94,94,95,96,96,96,96,94,92,99,92,87,83,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,Hib3,96,96,97,94,94,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,Hib3,90,89,88,83,86,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,Hib3,85,84,87,89,85,82,84,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,CAN,Canada,Hib3,91,91,91,91,95,87,89,90,92,93,95,93,91,88,88,88,88,88,88,87,84,,,,,,,,,,,,,,,,
West & Central Africa,CAF,Central African Republic,Hib3,47,47,47,23,47,47,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TCD,Chad,Hib3,46,46,37,39,40,33,39,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CHL,Chile,Hib3,95,97,95,90,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,,,,,,,,,,,,,,,,
East Asia & Pacific,CHN,China,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,Hib3,91,91,90,91,91,85,88,92,92,93,93,93,89,93,69,55,65,64,62,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,COM,Comoros,Hib3,91,91,88,88,89,83,74,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,Hib3,80,80,90,85,64,71,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,COK,Cook Islands,Hib3,99,99,99,98,98,93,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,Hib3,97,92,91,95,90,81,90,87,87,88,88,89,90,87,93,89,92,68,26,,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Côte d’Ivoire,Hib3,85,83,76,80,82,62,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,Hib3,93,94,95,96,96,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,Hib3,99,99,97,96,96,96,96,96,97,97,97,94,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,Hib3,96,97,96,96,96,96,96,96,90,90,90,58,58,58,32,32,32,,,,,,,,,,,,,,,,,,,,
Western Europe,CZE,Czech Republic,Hib3,96,97,99,99,99,99,99,99,99,99,97,97,98,97,95,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People’s Republic of Korea,Hib3,96,96,93,93,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,Hib3,79,81,80,74,75,74,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,Hib3,94,93,94,94,94,91,90,89,88,87,93,93,95,96,96,95,95,95,97,99,93,78,88,82,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,Hib3,84,84,78,82,81,87,88,89,89,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,Hib3,99,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,Hib3,73,76,87,75,70,71,81,77,79,70,80,87,80,75,43,20,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,Hib3,84,78,83,87,87,88,90,93,95,95,94,90,86,54,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,Hib3,95,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,Hib3,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,Hib3,19,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
