,ADM0_A3_IS,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME,NAME_LONG
0,ABW,ABW,533,Aruba,Aruba,Aruba,Aruba
1,ATG,-99,-99,Ant.,Antigua,Antigua,Antigua
2,ATG,-99,-99,Barb.,Barbuda,Barbuda,Barbuda
3,AFG,AFG,4,Afg.,Afghanistan,Afghanistan,Afghanistan
4,AGO,AGO,24,Ang.,Angola,Angola,Angola
5,AIA,AIA,660,Ang.,Anguilla,Anguilla,Anguilla
6,ALB,ALB,8,Alb.,Albania,Albania,Albania
7,ALA,ALA,248,Aland,Aland,Aland,Aland Islands
8,AND,AND,20,And.,Andorra,Andorra,Andorra
9,ARE,ARE,784,U.A.E.,United Arab Emirates,United Arab Emirates,United Arab Emirates
10,ARG,ARG,32,Arg.,Argentina,Argentina,Argentina
11,ARM,ARM,51,Arm.,Armenia,Armenia,Armenia
12,ASM,ASM,16,Am. Samoa,American Samoa,American Samoa,American Samoa
13,ATA,ATA,10,Ant.,Antarctica,Antarctica,Antarctica
14,AUS,-99,36,A.C.Is.,Ashmore and Cartier Islands,Ashmore and Cartier Is.,Ashmore and Cartier Islands
15,ATF,ATF,260,Fr. S.A.L.,French Southern and Antarctic Lands,Fr. S. Antarctic Lands,French Southern and Antarctic Lands
16,AUS,AUS,36,Auz.,Australia,Australia,Australia
17,AUT,AUT,40,Aust.,Austria,Austria,Austria
18,AZE,AZE,31,Aze.,Azerbaijan,Azerbaijan,Azerbaijan
19,BEL,-99,-99,Brus.,Brussels Capital Region,Brussels,Brussels
20,BDI,BDI,108,Bur.,Burundi,Burundi,Burundi
21,BEN,BEN,204,Benin,Benin,Benin,Benin
22,BFA,BFA,854,B.F.,Burkina Faso,Burkina Faso,Burkina Faso
23,BEL,-99,-99,Flem.,Flemish Region,Flemish,Flemish Region
24,BGD,BGD,50,Bang.,Bangladesh,Bangladesh,Bangladesh
25,BGR,BGR,100,Bulg.,Bulgaria,Bulgaria,Bulgaria
26,BIH,-99,-99,B.D.,Brcko District,Brcko District,Brcko District
27,BIH,-99,-99,B.H.,Bosnia and Herzegovina,Fed. of Bos. & Herz.,Federation of Bosnia and Herzegovina
28,BHR,BHR,48,Bahr.,Bahrain,Bahrain,Bahrain
29,BHS,BHS,44,Bhs.,The Bahamas,Bahamas,Bahamas
30,BIH,-99,-99,Srp.,Republic Srpska,Rep. Srpska,Republic Srpska
31,-99,-99,-99,,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Islands)
32,BLM,BLM,652,St. B.,Saint Barthelemy,St-Barthélemy,Saint-Barthélemy
33,BLR,BLR,112,Bela.,Belarus,Belarus,Belarus
34,BLZ,BLZ,84,Belize,Belize,Belize,Belize
35,BMU,BMU,60,Berm.,Bermuda,Bermuda,Bermuda
