,iso3,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME_LONG,population,DTP1-16
1,ATG,-99,-99,Ant.,Antigua,Antigua,24480.0,99.0
2,ATG,-99,-99,Barb.,Barbuda,Barbuda,24480.0,99.0
3,AFG,AFG,4,Afg.,Afghanistan,Afghanistan,15277900.0,73.0
4,AGO,AGO,24,Ang.,Angola,Angola,13998480.0,79.0
6,ALB,ALB,8,Alb.,Albania,Albania,498100.0,99.0
8,AND,AND,20,And.,Andorra,Andorra,,99.0
9,ARE,ARE,784,U.A.E.,United Arab Emirates,United Arab Emirates,1316000.0,99.0
10,ARG,ARG,32,Arg.,Argentina,Argentina,11067750.0,97.0
11,ARM,ARM,51,Arm.,Armenia,Armenia,586000.0,97.0
14,AUS,-99,36,A.C.Is.,Ashmore and Cartier Islands,Ashmore and Cartier Islands,4645690.0,98.0
15,AUS,AUS,36,Auz.,Australia,Australia,4645690.0,98.0
16,AUS,-99,-99,C.S.I.,Coral Sea Islands,Coral Sea Islands,4645690.0,98.0
18,AUT,AUT,40,Aust.,Austria,Austria,1222900.0,99.0
19,AZE,AZE,31,Aze.,Azerbaijan,Azerbaijan,2260440.0,98.0
20,BEL,-99,-99,Brus.,Brussels Capital Region,Brussels,1942930.0,99.0
21,BEL,-99,-99,Flem.,Flemish Region,Flemish Region,1942930.0,99.0
22,BEL,-99,-99,Wal.,Walloon Region,Walloon Region,1942930.0,99.0
23,BDI,BDI,108,Bur.,Burundi,Burundi,4888800.0,97.0
24,BEN,BEN,204,Benin,Benin,Benin,4805680.0,86.0
25,BFA,BFA,854,B.F.,Burkina Faso,Burkina Faso,8636850.0,95.0
26,BGD,BGD,50,Bang.,Bangladesh,Bangladesh,46107600.0,99.0
27,BGR,BGR,100,Bulg.,Bulgaria,Bulgaria,991900.0,94.0
28,BIH,-99,-99,B.D.,Brcko District,Brcko District,490980.0,90.0
29,BIH,-99,-99,B.H.,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,490980.0,90.0
30,BIH,-99,-99,Srp.,Republic Srpska,Republic Srpska,490980.0,90.0
31,BHR,BHR,48,Bahr.,Bahrain,Bahrain,298600.0,99.0
32,BHS,BHS,44,Bhs.,The Bahamas,Bahamas,79000.0,95.0
49,BLR,BLR,112,Bela.,Belarus,Belarus,1609560.0,99.0
50,BLZ,BLZ,84,Belize,Belize,Belize,116250.0,98.0
52,BOL,BOL,68,Bolivia,Bolivia,Bolivia,3536640.0,99.0
54,BRA,BRA,76,Brazil,Brazil,Brazil,46043360.0,89.0
55,BRB,BRB,52,Barb.,Barbados,Barbados,54340.0,99.0
56,BRN,BRN,96,Brunei,Brunei,Brunei Darussalam,98670.0,99.0
57,BTN,BTN,64,Bhutan,Bhutan,Bhutan,218160.0,99.0
59,BWA,BWA,72,Bwa.,Botswana,Botswana,710520.0,98.0
60,CAF,CAF,140,C.A.R.,Central African Republic,Central African Republic,2003370.0,69.0
61,CAN,CAN,124,Can.,Canada,Canada,5859840.0,96.0
63,CHE,CHE,756,Switz.,Switzerland,Switzerland,1271400.0,99.0
64,CHL,CHL,152,Chile,Chile,Chile,3611000.0,99.0
65,CHN,CHN,156,China,China,China,253713060.0,99.0
66,CIV,CIV,384,I.C.,Ivory Coast,Côte d'Ivoire,,98.0
67,FRA,-99,-99,Clp. I.,Clipperton Island,Clipperton Island,11696400.0,99.0
68,FRA,FRA,249,Fr.,France,France,11696400.0,99.0
69,CMR,CMR,120,Cam.,Cameroon,Cameroon,10343220.0,92.0
70,CYP,-99,-99,,Cyprus No Mans Area,Cyprus U.N. Buffer Zone,200600.0,98.0
71,CYP,-99,-99,N. Cy.,Northern Cyprus,Northern Cyprus,200600.0,98.0
72,CYP,CYP,196,Cyp.,Cyprus,Cyprus,200600.0,98.0
73,COD,COD,180,D.R.C.,Democratic Republic of the Congo,Democratic Republic of the Congo,,80.0
74,COG,COG,178,Rep. Congo,Republic of Congo,Republic of Congo,2209620.0,85.0
75,COK,COK,184,Cook Is.,Cook Islands,Cook Islands,,99.0
76,COL,COL,170,Col.,Colombia,Colombia,11285180.0,93.0
77,COM,COM,174,Com.,Comoros,Comoros,325600.0,96.0
78,CPV,CPV,132,C.Vd.,Cape Verde,Cape Verde,163800.0,96.0
79,CRI,CRI,188,C.R.,Costa Rica,Costa Rica,1079320.0,99.0
80,CUB,CUB,192,Cuba,Cuba,Cuba,1837600.0,99.0
84,CZE,CZE,203,Cz. Rep.,Czech Republic,Czech Republic,,98.0
85,DEU,DEU,276,Ger.,Germany,Germany,10674820.0,95.0
86,DJI,DJI,262,Dji.,Djibouti,Djibouti,296670.0,90.0
