,unicef_region,iso3,country,2016,1996,1986,GDP,Perc under 14
0,South Asia,AFG,Afghanistan,73.0,56.0,32.0,"19,469",43.0
1,Eastern Europe & Central Asia,ALB,Albania,99.0,98.0,98.0,"11,927",17.0
2,Middle East & North Africa,DZA,Algeria,96.0,96.0,92.0,"156,080",29.0
3,Western Europe,AND,Andorra,99.0,,, .. ,
4,Eastern & Southern Africa,AGO,Angola,79.0,53.0,31.0,"89,633",47.0
5,Latin America & Caribbean,ATG,Antigua and Barbuda,99.0,99.0,98.0,"1,449",24.0
6,Latin America & Caribbean,ARG,Argentina,97.0,94.0,86.0,"545,866",25.0
7,Eastern Europe & Central Asia,ARM,Armenia,97.0,95.0,,"10,547",20.0
8,East Asia & Pacific,AUS,Australia,98.0,95.0,91.0,"1,204,616",19.0
9,Western Europe,AUT,Austria,99.0,96.0,96.0,"386,428",14.0
10,Eastern Europe & Central Asia,AZE,Azerbaijan,98.0,82.0,,"37,848",23.0
11,Latin America & Caribbean,BHS,Bahamas,95.0,95.0,95.0,"9,047",20.0
12,Middle East & North Africa,BHR,Bahrain,99.0,96.0,97.0,"31,859",20.0
13,South Asia,BGD,Bangladesh,99.0,91.0,22.0,"221,415",28.0
14,Latin America & Caribbean,BRB,Barbados,99.0,95.0,92.0,"4,588",19.0
15,Eastern Europe & Central Asia,BLR,Belarus,99.0,98.0,,"47,433",17.0
16,Western Europe,BEL,Belgium,99.0,98.0,98.0,"466,366",17.0
17,Latin America & Caribbean,BLZ,Belize,98.0,95.0,98.0,"1,765",31.0
18,West & Central Africa,BEN,Benin,86.0,86.0,36.0,"8,583",43.0
19,South Asia,BTN,Bhutan,99.0,95.0,77.0,"2,237",27.0
20,Latin America & Caribbean,BOL,Bolivia (Plurinational State of),99.0,82.0,67.0,"33,806",32.0
21,Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,90.0,86.0,,"16,560",14.0
22,Eastern & Southern Africa,BWA,Botswana,98.0,98.0,98.0,"15,275",31.0
23,Latin America & Caribbean,BRA,Brazil,89.0,75.0,80.0,"1,796,187",22.0
24,East Asia & Pacific,BRN,Brunei Darussalam,99.0,99.0,95.0,"11,400",23.0
25,Eastern Europe & Central Asia,BGR,Bulgaria,94.0,98.0,99.0,"52,395",14.0
26,West & Central Africa,BFA,Burkina Faso,95.0,78.0,48.0,"12,115",45.0
27,Eastern & Southern Africa,BDI,Burundi,97.0,86.0,76.0,"3,007",45.0
28,West & Central Africa,CPV,Cabo Verde,96.0,90.0,77.0,"1,617",30.0
29,East Asia & Pacific,KHM,Cambodia,92.0,59.0,62.0,"20,017",31.0
30,West & Central Africa,CMR,Cameroon,92.0,71.0,58.0,"24,204",43.0
31,North America,CAN,Canada,96.0,98.0,,"1,529,760",16.0
32,West & Central Africa,CAF,Central African Republic,69.0,72.0,42.0,"1,756",43.0
33,West & Central Africa,TCD,Chad,60.0,44.0,31.0,"9,601",47.0
34,Latin America & Caribbean,CHL,Chile,99.0,97.0,96.0,"247,028",20.0
35,East Asia & Pacific,CHN,China,99.0,94.0,92.0,"11,199,145",18.0
36,Latin America & Caribbean,COL,Colombia,93.0,95.0,72.0,"282,463",23.0
37,Eastern & Southern Africa,COM,Comoros,96.0,82.0,88.0,617,40.0
38,West & Central Africa,COG,Congo,85.0,62.0,88.0,"7,834",42.0
39,East Asia & Pacific,COK,Cook Islands,99.0,91.0,95.0,,
40,Latin America & Caribbean,CRI,Costa Rica,99.0,95.0,96.0,"57,436",22.0
41,West & Central Africa,CIV,Côte d’Ivoire,98.0,70.0,55.0,"36,165",
42,Eastern Europe & Central Asia,HRV,Croatia,98.0,97.0,,"50,425",15.0
43,Latin America & Caribbean,CUB,Cuba,99.0,96.0,99.0,"87,133",16.0
44,Western Europe,CYP,Cyprus,98.0,98.0,97.0,"19,802",17.0
45,Western Europe,CZE,Czech Republic,98.0,98.0,,"192,925",
46,East Asia & Pacific,PRK,Democratic People’s Republic of Korea,97.0,74.0,82.0, .. ,
47,West & Central Africa,COD,Democratic Republic of the Congo,80.0,41.0,57.0,"34,999",
48,Western Europe,DNK,Denmark,97.0,94.0,97.0,"306,143",16.0
49,Eastern & Southern Africa,DJI,Djibouti,90.0,66.0,48.0,"1,727",31.0
50,Latin America & Caribbean,DMA,Dominica,99.0,99.0,97.0,525,
51,Latin America & Caribbean,DOM,Dominican Republic,98.0,88.0,93.0,"71,584",29.0
52,Latin America & Caribbean,ECU,Ecuador,94.0,94.0,69.0,"97,802",28.0
53,Middle East & North Africa,EGY,Egypt,96.0,96.0,93.0,"336,297",33.0
54,Latin America & Caribbean,SLV,El Salvador,97.0,98.0,74.0,"26,797",27.0
55,West & Central Africa,GNQ,Equatorial Guinea,40.0,94.0,21.0,"10,179",37.0
56,Eastern & Southern Africa,ERI,Eritrea,97.0,75.0,, .. ,42.0
57,Western Europe,EST,Estonia,94.0,96.0,,"23,137",16.0
58,Eastern & Southern Africa,ETH,Ethiopia,86.0,78.0,27.0,"72,374",41.0
59,East Asia & Pacific,FJI,Fiji,99.0,98.0,88.0,"4,632",28.0
60,Western Europe,FIN,Finland,99.0,99.0,98.0,"236,785",16.0
61,Western Europe,FRA,France,99.0,98.0,98.0,"2,465,454",18.0
62,West & Central Africa,GAB,Gabon,83.0,78.0,66.0,"14,214",36.0
63,West & Central Africa,GMB,Gambia,99.0,99.0,93.0,965,45.0
64,Eastern Europe & Central Asia,GEO,Georgia,97.0,90.0,,"14,333",19.0
65,Western Europe,DEU,Germany,95.0,94.0,96.0,"3,466,757",13.0
66,West & Central Africa,GHA,Ghana,94.0,88.0,60.0,"42,690",39.0
67,Western Europe,GRC,Greece,99.0,96.0,93.0,"194,559",14.0
68,Latin America & Caribbean,GRD,Grenada,98.0,93.0,98.0,"1,016",26.0
69,Latin America & Caribbean,GTM,Guatemala,96.0,86.0,62.0,"68,763",35.0
70,West & Central Africa,GIN,Guinea,65.0,72.0,37.0,"6,299",42.0
71,West & Central Africa,GNB,Guinea-Bissau,95.0,77.0,88.0,"1,126",41.0
72,Latin America & Caribbean,GUY,Guyana,97.0,94.0,84.0,"3,446",29.0
73,Latin America & Caribbean,HTI,Haiti,78.0,75.0,48.0,"8,023",33.0
74,Latin America & Caribbean,HND,Honduras,99.0,97.0,83.0,"21,517",32.0
75,Western Europe,HUN,Hungary,99.0,99.0,99.0,"124,343",14.0
76,Western Europe,ISL,Iceland,96.0,99.0,99.0,"20,047",20.0
77,South Asia,IND,India,91.0,86.0,44.0,"2,263,523",28.0
78,East Asia & Pacific,IDN,Indonesia,95.0,89.0,72.0,"932,259",27.0
79,Middle East & North Africa,IRN,Iran (Islamic Republic of),99.0,99.0,80.0,"393,436",24.0
80,Middle East & North Africa,IRQ,Iraq,73.0,88.0,98.0,"171,489",40.0
81,Western Europe,IRL,Ireland,98.0,90.0,69.0,"294,054",22.0
82,Middle East & North Africa,ISR,Israel,94.0,97.0,97.0,"318,744",28.0
83,Western Europe,ITA,Italy,97.0,98.0,,"1,849,970",14.0
84,Latin America & Caribbean,JAM,Jamaica,99.0,97.0,90.0,"14,027",23.0
85,East Asia & Pacific,JPN,Japan,99.0,99.0,94.0,"4,939,384",13.0
86,Middle East & North Africa,JOR,Jordan,99.0,99.0,96.0,"38,655",36.0
87,Eastern Europe & Central Asia,KAZ,Kazakhstan,93.0,98.0,,"133,657",28.0
88,Eastern & Southern Africa,KEN,Kenya,96.0,96.0,89.0,"70,529",40.0
89,East Asia & Pacific,KIR,Kiribati,82.0,92.0,62.0,166,35.0
90,Middle East & North Africa,KWT,Kuwait,99.0,99.0,97.0,"114,041",21.0
91,Eastern Europe & Central Asia,KGZ,Kyrgyzstan,97.0,98.0,,"6,551",32.0
92,East Asia & Pacific,LAO,Lao People’s Democratic Republic,85.0,80.0,24.0,"15,903",
93,Western Europe,LVA,Latvia,99.0,99.0,,"27,677",15.0
94,Middle East & North Africa,LBN,Lebanon,84.0,97.0,55.0,"47,537",23.0
95,Eastern & Southern Africa,LSO,Lesotho,98.0,94.0,91.0,"2,200",35.0
96,West & Central Africa,LBR,Liberia,99.0,,,"2,101",42.0
97,Middle East & North Africa,LBY,Libya,98.0,98.0,94.0, .. ,28.0
98,Western Europe,LTU,Lithuania,97.0,97.0,,"42,739",15.0
99,Western Europe,LUX,Luxembourg,99.0,98.0,95.0,"59,948",16.0
100,Eastern & Southern Africa,MDG,Madagascar,84.0,73.0,55.0,"9,991",41.0
101,Eastern & Southern Africa,MWI,Malawi,89.0,96.0,80.0,"5,442",44.0
102,East Asia & Pacific,MYS,Malaysia,99.0,98.0,73.0,"296,359",24.0
103,South Asia,MDV,Maldives,99.0,98.0,67.0,"3,591",23.0
104,West & Central Africa,MLI,Mali,86.0,77.0,28.0,"14,045",48.0
105,Western Europe,MLT,Malta,97.0,97.0,95.0,"10,949",14.0
106,East Asia & Pacific,MHL,Marshall Islands,87.0,92.0,,183,
107,West & Central Africa,MRT,Mauritania,87.0,89.0,57.0,"4,635",40.0
108,Eastern & Southern Africa,MUS,Mauritius,97.0,96.0,95.0,"12,164",18.0
109,Latin America & Caribbean,MEX,Mexico,99.0,98.0,75.0,"1,045,998",27.0
110,East Asia & Pacific,FSM,Micronesia (Federated States of ),95.0,92.0,,322,
111,Western Europe,MCO,Monaco,99.0,99.0,, .. ,
112,East Asia & Pacific,MNG,Mongolia,99.0,96.0,93.0,"11,160",30.0
113,Eastern Europe & Central Asia,MNE,Montenegro,97.0,,,"4,173",18.0
114,Middle East & North Africa,MAR,Morocco,99.0,91.0,84.0,"101,445",27.0
115,Eastern & Southern Africa,MOZ,Mozambique,90.0,76.0,57.0,"11,015",45.0
116,East Asia & Pacific,MMR,Myanmar,94.0,96.0,44.0,"67,430",27.0
117,Eastern & Southern Africa,NAM,Namibia,98.0,88.0,,"10,267",37.0
118,East Asia & Pacific,NRU,Nauru,98.0,77.0,82.0,102,
119,South Asia,NPL,Nepal,92.0,85.0,63.0,"21,144",31.0
120,Western Europe,NLD,Netherlands,98.0,98.0,98.0,"770,845",16.0
121,East Asia & Pacific,NZL,New Zealand,92.0,96.0,88.0,"185,017",20.0
122,Latin America & Caribbean,NIC,Nicaragua,99.0,93.0,70.0,"13,231",29.0
123,West & Central Africa,NER,Niger,87.0,44.0,24.0,"7,509",50.0
124,West & Central Africa,NGA,Nigeria,64.0,51.0,46.0,"405,083",44.0
125,East Asia & Pacific,NIU,Niue,99.0,99.0,93.0,,
126,Western Europe,NOR,Norway,99.0,98.0,94.0,"370,557",18.0
127,Middle East & North Africa,OMN,Oman,99.0,99.0,94.0,"66,293",22.0
128,South Asia,PAK,Pakistan,79.0,62.0,59.0,"283,660",35.0
129,East Asia & Pacific,PLW,Palau,99.0,98.0,98.0,293,
130,Latin America & Caribbean,PAN,Panama,96.0,97.0,88.0,"55,188",27.0
131,East Asia & Pacific,PNG,Papua New Guinea,87.0,80.0,69.0,"16,929",36.0
132,Latin America & Caribbean,PRY,Paraguay,99.0,89.0,77.0,"27,441",29.0
133,Latin America & Caribbean,PER,Peru,94.0,97.0,74.0,"192,094",27.0
134,East Asia & Pacific,PHL,Philippines,87.0,82.0,86.0,"304,905",32.0
135,Western Europe,POL,Poland,99.0,98.0,98.0,"469,509",15.0
136,Western Europe,PRT,Portugal,99.0,98.0,93.0,"204,565",14.0
137,Middle East & North Africa,QAT,Qatar,99.0,97.0,89.0,"152,469",14.0
138,East Asia & Pacific,KOR,Republic of Korea,98.0,96.0,91.0,"1,411,246",13.0
139,Eastern Europe & Central Asia,MDA,Republic of Moldova,94.0,98.0,,"6,750",16.0
140,Eastern Europe & Central Asia,ROU,Romania,96.0,98.0,96.0,"186,691",15.0
141,Eastern Europe & Central Asia,RUS,Russian Federation,97.0,94.0,,"1,283,162",18.0
142,Eastern & Southern Africa,RWA,Rwanda,99.0,96.0,95.0,"8,376",40.0
143,Latin America & Caribbean,KNA,Saint Kitts and Nevis,99.0,99.0,99.0,917,
144,Latin America & Caribbean,LCA,Saint Lucia,95.0,96.0,92.0,"1,379",19.0
145,Latin America & Caribbean,VCT,Saint Vincent and The Grenadines,99.0,99.0,98.0,771,
146,East Asia & Pacific,WSM,Samoa,95.0,98.0,97.0,786,37.0
147,Western Europe,SMR,San Marino,78.0,99.0,99.0, .. ,
148,West & Central Africa,STP,Sao Tome and Principe,97.0,87.0,85.0,351,43.0
149,Middle East & North Africa,SAU,Saudi Arabia,98.0,97.0,95.0,"646,438",25.0
150,West & Central Africa,SEN,Senegal,96.0,88.0,77.0,"14,765",43.0
151,Eastern Europe & Central Asia,SRB,Serbia,97.0,97.0,,"37,745",16.0
152,Eastern & Southern Africa,SYC,Seychelles,98.0,99.0,97.0,"1,427",22.0
153,West & Central Africa,SLE,Sierra Leone,97.0,,,"3,669",42.0
154,East Asia & Pacific,SGP,Singapore,98.0,94.0,97.0,"296,966",15.0
155,Western Europe,SVK,Slovakia,99.0,99.0,,"89,552",15.0
156,Western Europe,SVN,Slovenia,98.0,98.0,,"43,991",15.0
157,East Asia & Pacific,SLB,Solomon Islands,99.0,89.0,67.0,"1,202",39.0
158,Eastern & Southern Africa,SOM,Somalia,52.0,45.0,40.0,"6,217",46.0
159,Eastern & Southern Africa,ZAF,South Africa,78.0,90.0,88.0,"294,841",29.0
160,Eastern & Southern Africa,SSD,South Sudan,35.0,,,"9,015",42.0
161,Western Europe,ESP,Spain,99.0,96.0,96.0,"1,232,088",15.0
162,South Asia,LKA,Sri Lanka,99.0,97.0,91.0,"81,322",24.0
163,Middle East & North Africa,PSE,State of Palestine,99.0,98.0,,"13,397",40.0
164,Eastern & Southern Africa,SDN,Sudan,97.0,79.0,36.0,"95,584",41.0
165,Latin America & Caribbean,SUR,Suriname,92.0,93.0,93.0,"3,621",26.0
166,Eastern & Southern Africa,SWZ,Swaziland,96.0,94.0,90.0,"3,727",37.0
167,Western Europe,SWE,Sweden,99.0,99.0,99.0,"511,000",18.0
168,Western Europe,CHE,Switzerland,99.0,93.0,96.0,"659,827",15.0
169,Middle East & North Africa,SYR,Syrian Arab Republic,61.0,96.0,90.0, .. ,37.0
170,Eastern Europe & Central Asia,TJK,Tajikistan,98.0,80.0,,"6,952",35.0
171,East Asia & Pacific,THA,Thailand,99.0,97.0,86.0,"406,840",17.0
172,Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,97.0,97.0,,"10,900",
173,East Asia & Pacific,TLS,Timor-Leste,95.0,,,"1,442",44.0
174,West & Central Africa,TGO,Togo,93.0,70.0,59.0,"4,400",42.0
175,East Asia & Pacific,TON,Tonga,83.0,99.0,91.0,395,36.0
176,Latin America & Caribbean,TTO,Trinidad and Tobago,97.0,96.0,88.0,"20,989",21.0
177,Middle East & North Africa,TUN,Tunisia,99.0,98.0,89.0,"42,063",24.0
178,Eastern Europe & Central Asia,TUR,Turkey,99.0,89.0,70.0,"857,749",25.0
179,Eastern Europe & Central Asia,TKM,Turkmenistan,99.0,98.0,,"36,180",31.0
180,East Asia & Pacific,TUV,Tuvalu,99.0,98.0,90.0,34,
181,Eastern & Southern Africa,UGA,Uganda,89.0,80.0,45.0,"25,528",48.0
182,Eastern Europe & Central Asia,UKR,Ukraine,42.0,99.0,,"93,270",15.0
183,Middle East & North Africa,ARE,United Arab Emirates,99.0,96.0,92.0,"348,743",14.0
184,Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,98.0,97.0,86.0,"2,618,886",
185,Eastern & Southern Africa,TZA,United Republic of Tanzania,99.0,94.0,90.0,"47,431",45.0
186,North America,USA,United States of America,97.0,98.0,98.0,"18,569,100",19.0
187,Latin America & Caribbean,URY,Uruguay,97.0,97.0,88.0,"52,420",21.0
188,Eastern Europe & Central Asia,UZB,Uzbekistan,99.0,98.0,,"67,220",28.0
189,East Asia & Pacific,VUT,Vanuatu,75.0,86.0,56.0,774,36.0
190,Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),98.0,80.0,80.0, .. ,28.0
191,East Asia & Pacific,VNM,Viet Nam,96.0,97.0,68.0,"202,616",23.0
192,Middle East & North Africa,YEM,Yemen,76.0,72.0,35.0,"27,318",40.0
193,Eastern & Southern Africa,ZMB,Zambia,99.0,94.0,86.0,"19,551",45.0
194,Eastern & Southern Africa,ZWE,Zimbabwe,94.0,96.0,91.0,"16,289",41.0
195,,HKG,,,,,"320,912",
196,,HKG,,,,,"320,912",
197,,MAC,,,,,"44,803",
198,,MAC,,,,,"44,803",
199,,IMN,,,,,"7,428",
200,,IMN,,,,,"7,428",
201,,LIE,,,,,"6,664",
202,,LIE,,,,,"6,664",
203,,XKX,,,,,"6,650",
204,,XKX,,,,,"6,650",
205,,GUM,,,,,"5,734",
206,,GUM,,,,,"5,734",
207,,VIR,,,,,"3,765",
208,,VIR,,,,,"3,765",
209,,GRL,,,,,"2,220",
210,,GRL,,,,,"2,220",
211,,MNP,,,,,922,
212,,MNP,,,,,922,
213,,ASM,,,,,641,
214,,ASM,,,,,641,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,ABW,,,,, .. ,
224,,ABW,,,,, .. ,
225,,BMU,,,,, .. ,
226,,BMU,,,,, .. ,
227,,VGB,,,,, .. ,
228,,VGB,,,,, .. ,
229,,CYM,,,,, .. ,
230,,CYM,,,,, .. ,
231,,CHI,,,,, .. ,
232,,CHI,,,,, .. ,
233,,CUW,,,,, .. ,
234,,CUW,,,,, .. ,
235,,FRO,,,,, .. ,
236,,FRO,,,,, .. ,
237,,PYF,,,,, .. ,
238,,PYF,,,,, .. ,
239,,GIB,,,,, .. ,
240,,GIB,,,,, .. ,
241,,NCL,,,,, .. ,
242,,NCL,,,,, .. ,
243,,PRI,,,,, .. ,
244,,PRI,,,,, .. ,
245,,SXM,,,,, .. ,
246,,SXM,,,,, .. ,
247,,MAF,,,,, .. ,
248,,MAF,,,,, .. ,
249,,TCA,,,,, .. ,
250,,TCA,,,,, .. ,
251,,WLD,,,,,"75,641,577",
252,,WLD,,,,,"75,641,577",
253,,EAS,,,,,"22,477,425",
254,,EAS,,,,,"22,477,425",
255,,ECS,,,,,"20,162,858",
256,,ECS,,,,,"20,162,858",
257,,LCN,,,,,"5,294,928",
258,,LCN,,,,,"5,294,928",
259,,MEA,,,,,"3,111,499",
260,,MEA,,,,,"3,111,499",
261,,NAC,,,,,"20,104,905",
262,,NAC,,,,,"20,104,905",
263,,SAS,,,,,"2,896,361",
264,,SAS,,,,,"2,896,361",
265,,SSF,,,,,"1,498,001",
266,,SSF,,,,,"1,498,001",
267,,LIC,,,,,"405,501",
268,,LIC,,,,,"405,501",
269,,LMC,,,,,"6,252,244",
270,,LMC,,,,,"6,252,244",
271,,UMC,,,,,"20,570,823",
272,,UMC,,,,,"20,570,823",
273,,HIC,,,,,"48,407,640",
274,,HIC,,,,,"48,407,640",
275,,,World,,,,,26.0
276,,,Africa,,,,,41.0
277,,,Asia,,,,,24.0
278,,,Europe,,,,,16.0
279,,,Latin America and the Caribbean,,,,,25.0
280,,,Northern America,,,,,19.0
281,,,Oceania,,,,,23.0
282,,,American Samoa,,,,,
283,,,Anguilla,,,,,
284,,,Aruba,,,,,18.0
285,,,Bermuda,,,,,
286,,,British Virgin Islands,,,,,
287,,,Caribbean Netherlands,,,,,
288,,,Cayman Islands,,,,,
289,,,Channel Islands,,,,,15.0
290,,,"China, Hong Kong SAR",,,,,11.0
291,,,"China, Macao SAR",,,,,13.0
292,,,"China, Taiwan Province of China",,,,,13.0
293,,,C“te d'Ivoire,,,,,42.0
294,,,Cura‡ao,,,,,19.0
295,,,Czechia,,,,,15.0
296,,,Dem People's Rep of Korea,,,,,21.0
297,,,Dem Republic of the Congo,,,,,46.0
298,,,Faeroe Islands,,,,,
299,,,Falkland Islands (Malvinas),,,,,
300,,,French Guiana,,,,,33.0
301,,,French Polynesia,,,,,23.0
302,,,Gibraltar,,,,,
303,,,Greenland,,,,,
304,,,Guadeloupe,,,,,19.0
305,,,Guam,,,,,25.0
306,,,Holy See,,,,,
307,,,Isle of Man,,,,,
308,,,Lao People's Dem Republic,,,,,33.0
309,,,Liechtenstein,,,,,
310,,,Martinique,,,,,18.0
311,,,Mayotte,,,,,41.0
312,,,Micronesia (Fed States of),,,,,33.0
313,,,Montserrat,,,,,
314,,,New Caledonia,,,,,23.0
315,,,Northern Mariana Islands,,,,,
316,,,Puerto Rico,,,,,18.0
317,,,R‚union,,,,,24.0
318,,,Saint Helena,,,,,
319,,,Saint Pierre and Miquelon,,,,,
320,,,St Vincent and the Grenadines,,,,,24.0
321,,,Sint Maarten (Dutch part),,,,,
322,,,TFYR Macedonia,,,,,17.0
323,,,Tokelau,,,,,
324,,,Turks and Caicos Islands,,,,,
