,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,percChange
0,South Asia,AFG,Afghanistan,73,73,73,76,78,78,72.0,72.0,75.0,76.0,75.0,76.0,72.0,66.0,62.0,59.0,48.0,52.0,52.0,48.0,56.0,44.0,33.0,41.0,45.0,47.0,50.0,58.0,60.0,50.0,32.0,37.0,39.0,24.0,24.0,,22.0,30.36
4,Eastern & Southern Africa,AGO,Angola,79,77,81,79,83,88,93.0,79.0,88.0,73.0,57.0,54.0,69.0,64.0,62.0,55.0,44.0,51.0,59.0,66.0,53.0,48.0,52.0,55.0,45.0,51.0,48.0,41.0,33.0,31.0,31.0,28.0,28.0,25.0,,,,49.06
18,West & Central Africa,BEN,Benin,86,86,86,86,89,85,87.0,89.0,91.0,94.0,89.0,84.0,85.0,86.0,87.0,88.0,89.0,88.0,87.0,86.0,86.0,82.0,89.0,87.0,86.0,83.0,86.0,68.0,51.0,46.0,36.0,36.0,,,,,,0.0
23,Latin America & Caribbean,BRA,Brazil,89,97,98,98,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,75.0,85.0,50.0,91.0,88.0,92.0,86.0,79.0,80.0,80.0,80.0,86.0,87.0,82.0,79.0,72.0,62.0,18.67
32,West & Central Africa,CAF,Central African Republic,69,69,69,35,69,69,67.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,60.0,55.0,61.0,66.0,72.0,77.0,76.0,75.0,75.0,85.0,95.0,84.0,67.0,46.0,42.0,44.0,40.0,39.0,36.0,32.0,35.0,-4.17
33,West & Central Africa,TCD,Chad,60,60,60,58,57,55,55.0,45.0,47.0,50.0,58.0,46.0,35.0,45.0,45.0,44.0,45.0,45.0,47.0,48.0,44.0,41.0,41.0,35.0,31.0,41.0,44.0,44.0,36.0,36.0,31.0,21.0,21.0,18.0,,,,36.36
38,West & Central Africa,COG,Congo,85,85,95,90,90,90,90.0,92.0,93.0,80.0,81.0,73.0,67.0,62.0,50.0,44.0,45.0,46.0,46.0,47.0,62.0,74.0,78.0,82.0,86.0,90.0,92.0,92.0,89.0,89.0,88.0,77.0,77.0,74.0,72.0,67.0,67.0,37.1
47,West & Central Africa,COD,Democratic Republic of the Congo,80,82,81,79,81,85,71.0,82.0,73.0,78.0,71.0,68.0,66.0,53.0,47.0,49.0,49.0,46.0,44.0,41.0,41.0,47.0,51.0,54.0,47.0,39.0,60.0,63.0,66.0,63.0,57.0,62.0,52.0,39.0,40.0,41.0,,95.12
55,West & Central Africa,GNQ,Equatorial Guinea,40,28,59,49,56,59,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,96.0,96.0,72.0,42.0,31.0,21.0,21.0,,,,,,-57.45
58,Eastern & Southern Africa,ETH,Ethiopia,86,86,86,84,82,80,77.0,74.0,71.0,67.0,64.0,61.0,58.0,55.0,52.0,50.0,47.0,44.0,61.0,78.0,78.0,80.0,80.0,53.0,35.0,45.0,73.0,51.0,39.0,39.0,27.0,25.0,22.0,22.0,21.0,21.0,,10.26
62,West & Central Africa,GAB,Gabon,83,87,77,80,86,82,82.0,81.0,85.0,86.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,75.0,78.0,81.0,85.0,88.0,92.0,94.0,96.0,96.0,86.0,76.0,66.0,56.0,46.0,36.0,,,,6.41
70,West & Central Africa,GIN,Guinea,65,63,60,76,76,76,86.0,76.0,64.0,76.0,75.0,75.0,75.0,71.0,68.0,64.0,61.0,57.0,72.0,72.0,72.0,77.0,77.0,77.0,76.0,61.0,40.0,40.0,39.0,37.0,37.0,37.0,37.0,37.0,37.0,,,-9.72
73,Latin America & Caribbean,HTI,Haiti,78,80,72,86,87,88,87.0,86.0,86.0,85.0,84.0,83.0,81.0,79.0,77.0,75.0,73.0,71.0,69.0,66.0,75.0,75.0,75.0,73.0,72.0,70.0,66.0,74.0,72.0,53.0,48.0,42.0,36.0,29.0,35.0,36.0,21.0,4.0
80,Middle East & North Africa,IRQ,Iraq,73,73,77,82,87,90,86.0,88.0,81.0,68.0,76.0,84.0,86.0,87.0,89.0,90.0,92.0,93.0,79.0,89.0,88.0,86.0,84.0,82.0,86.0,90.0,93.0,97.0,98.0,98.0,98.0,98.0,81.0,39.0,41.0,35.0,36.0,-17.05
89,East Asia & Pacific,KIR,Kiribati,82,81,83,95,94,99,97.0,90.0,97.0,99.0,98.0,93.0,75.0,78.0,82.0,85.0,95.0,96.0,96.0,97.0,92.0,82.0,88.0,99.0,95.0,88.0,98.0,92.0,84.0,61.0,62.0,62.0,41.0,65.0,77.0,54.0,68.0,-10.87
92,East Asia & Pacific,LAO,Lao People’s Democratic Republic,85,93,94,89,87,83,81.0,76.0,73.0,59.0,68.0,68.0,66.0,72.0,64.0,59.0,83.0,83.0,82.0,82.0,80.0,77.0,72.0,50.0,47.0,46.0,41.0,45.0,40.0,31.0,24.0,22.0,24.0,27.0,27.0,27.0,,6.25
94,Middle East & North Africa,LBN,Lebanon,84,84,84,84,84,84,84.0,84.0,84.0,84.0,84.0,83.0,83.0,83.0,85.0,88.0,90.0,92.0,95.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,94.0,92.0,84.0,71.0,55.0,40.0,22.0,22.0,22.0,20.0,17.0,-13.4
100,Eastern & Southern Africa,MDG,Madagascar,84,79,83,80,80,80,78.0,80.0,84.0,92.0,93.0,88.0,82.0,79.0,76.0,75.0,74.0,73.0,73.0,73.0,73.0,80.0,86.0,86.0,85.0,77.0,71.0,70.0,67.0,60.0,55.0,47.0,42.0,47.0,37.0,,,15.07
101,Eastern & Southern Africa,MWI,Malawi,89,93,97,96,99,98,97.0,97.0,97.0,96.0,99.0,99.0,99.0,99.0,94.0,99.0,98.0,98.0,98.0,98.0,96.0,96.0,94.0,97.0,95.0,95.0,95.0,95.0,94.0,92.0,80.0,78.0,80.0,84.0,84.0,86.0,80.0,-7.29
104,West & Central Africa,MLI,Mali,86,82,92,85,81,80,81.0,82.0,85.0,86.0,86.0,87.0,86.0,85.0,82.0,76.0,61.0,67.0,73.0,79.0,77.0,73.0,64.0,71.0,63.0,59.0,67.0,51.0,41.0,28.0,28.0,28.0,,,,,,11.69
106,East Asia & Pacific,MHL,Marshall Islands,87,95,97,97,97,99,99.0,99.0,99.0,99.0,90.0,89.0,71.0,90.0,90.0,99.0,64.0,85.0,95.0,92.0,92.0,88.0,86.0,79.0,94.0,88.0,97.0,97.0,97.0,,,,,,,,,-5.43
107,West & Central Africa,MRT,Mauritania,87,87,88,95,95,91,82.0,79.0,88.0,92.0,85.0,85.0,83.0,91.0,96.0,76.0,73.0,70.0,56.0,69.0,89.0,93.0,88.0,82.0,76.0,65.0,69.0,63.0,62.0,55.0,57.0,52.0,45.0,44.0,44.0,41.0,,-2.25
123,West & Central Africa,NER,Niger,87,85,89,87,87,86,83.0,81.0,76.0,68.0,63.0,58.0,56.0,53.0,51.0,48.0,46.0,43.0,44.0,45.0,44.0,42.0,41.0,39.0,38.0,36.0,46.0,35.0,29.0,27.0,24.0,22.0,24.0,24.0,25.0,25.0,,97.73
124,West & Central Africa,NGA,Nigeria,64,64,64,58,51,56,60.0,73.0,63.0,52.0,49.0,48.0,46.0,45.0,43.0,42.0,42.0,41.0,48.0,70.0,51.0,59.0,69.0,54.0,68.0,64.0,79.0,72.0,61.0,54.0,46.0,39.0,29.0,,,,,25.49
128,South Asia,PAK,Pakistan,79,79,79,79,79,84,88.0,88.0,84.0,89.0,89.0,81.0,75.0,77.0,77.0,75.0,72.0,70.0,67.0,65.0,62.0,73.0,64.0,62.0,67.0,74.0,77.0,65.0,63.0,61.0,59.0,55.0,47.0,37.0,24.0,21.0,20.0,27.42
131,East Asia & Pacific,PNG,Papua New Guinea,87,83,87,88,85,83,80.0,80.0,70.0,76.0,85.0,80.0,81.0,88.0,81.0,77.0,84.0,82.0,85.0,87.0,80.0,97.0,91.0,93.0,82.0,93.0,97.0,77.0,72.0,69.0,69.0,65.0,59.0,52.0,54.0,57.0,57.0,8.75
134,East Asia & Pacific,PHL,Philippines,87,69,78,93,91,92,81.0,89.0,94.0,90.0,90.0,91.0,92.0,86.0,84.0,92.0,92.0,91.0,91.0,90.0,82.0,76.0,81.0,86.0,91.0,96.0,96.0,95.0,92.0,90.0,86.0,81.0,80.0,78.0,77.0,77.0,72.0,6.1
147,Western Europe,SMR,San Marino,78,77,82,72,98,90,80.0,95.0,89.0,92.0,98.0,98.0,99.0,98.0,96.0,96.0,97.0,99.0,,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,-21.21
158,Eastern & Southern Africa,SOM,Somalia,52,52,52,52,52,52,55.0,52.0,40.0,59.0,40.0,50.0,50.0,65.0,60.0,57.0,57.0,59.0,51.0,42.0,45.0,46.0,47.0,46.0,45.0,44.0,42.0,41.0,51.0,50.0,40.0,46.0,31.0,24.0,24.0,20.0,,15.56
159,Eastern & Southern Africa,ZAF,South Africa,78,83,85,81,72,80,80.0,81.0,81.0,83.0,82.0,83.0,80.0,77.0,80.0,82.0,85.0,88.0,90.0,93.0,90.0,89.0,90.0,93.0,92.0,93.0,89.0,88.0,88.0,89.0,88.0,91.0,91.0,90.0,,,,-13.33
160,Eastern & Southern Africa,SSD,South Sudan,35,37,49,57,71,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Middle East & North Africa,SYR,Syrian Arab Republic,61,62,65,55,68,86,89.0,89.0,88.0,88.0,88.0,88.0,89.0,90.0,92.0,90.0,90.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,95.0,95.0,93.0,99.0,83.0,71.0,90.0,54.0,50.0,45.0,37.0,36.0,35.0,-36.46
175,East Asia & Pacific,TON,Tonga,83,86,86,86,81,86,86.0,87.0,90.0,91.0,92.0,94.0,95.0,96.0,94.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,96.0,98.0,99.0,96.0,97.0,97.0,97.0,99.0,91.0,97.0,75.0,84.0,76.0,62.0,65.0,-16.16
181,Eastern & Southern Africa,UGA,Uganda,89,89,89,89,89,91,87.0,96.0,87.0,93.0,85.0,90.0,88.0,86.0,84.0,82.0,80.0,78.0,79.0,79.0,80.0,81.0,82.0,80.0,77.0,75.0,72.0,70.0,67.0,55.0,45.0,36.0,36.0,36.0,33.0,29.0,,11.25
182,Eastern Europe & Central Asia,UKR,Ukraine,42,59,59,76,76,50,52.0,71.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,96.0,,,,,,,,,,,,,-57.58
189,East Asia & Pacific,VUT,Vanuatu,75,75,75,75,75,76,76.0,77.0,77.0,78.0,78.0,79.0,80.0,82.0,83.0,84.0,85.0,87.0,88.0,89.0,86.0,90.0,90.0,95.0,91.0,94.0,91.0,82.0,80.0,79.0,56.0,55.0,53.0,52.0,46.0,,,-12.79
192,Middle East & North Africa,YEM,Yemen,76,77,82,82,77,79,84.0,84.0,85.0,88.0,86.0,88.0,89.0,77.0,72.0,87.0,88.0,84.0,75.0,65.0,72.0,69.0,58.0,77.0,74.0,61.0,94.0,79.0,61.0,41.0,35.0,33.0,27.0,24.0,22.0,21.0,18.0,5.56
