,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,GDP, Total (in thousdands) ,Pop % under 14, 15-24 , 25-59 , 60+ ,Pop # under 14
0,South Asia,AFG,Afghanistan,73.0,73.0,73.0,76.0,78.0,78.0,72.0,72.0,75.0,76.0,75.0,76.0,72.0,66.0,62.0,59.0,48.0,52.0,52.0,48.0,56.0,44.0,33.0,41.0,45.0,47.0,50.0,58.0,60.0,50.0,32.0,37.0,39.0,24.0,24.0,,22.0,"19,469","35,530",43.0,21.0,31,4.0,15277900.0
1,Eastern Europe & Central Asia,ALB,Albania,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,98.0,97.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,92.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,"11,927","2,930",17.0,16.0,48,19.0,498100.0
2,Middle East & North Africa,DZA,Algeria,96.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0,94.0,93.0,93.0,93.0,92.0,95.0,92.0,94.0,96.0,96.0,96.0,95.0,96.0,96.0,96.0,96.0,95.0,93.0,92.0,92.0,88.0,,,,,,"156,080","41,318",29.0,15.0, zz ,9.0,11982220.0
3,Western Europe,AND,Andorra,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,, .. ,77,,,,,
4,Eastern & Southern Africa,AGO,Angola,79.0,77.0,81.0,79.0,83.0,88.0,93.0,79.0,88.0,73.0,57.0,54.0,69.0,64.0,62.0,55.0,44.0,51.0,59.0,66.0,53.0,48.0,52.0,55.0,45.0,51.0,48.0,41.0,33.0,31.0,31.0,28.0,28.0,25.0,,,,"89,633","29,784",47.0,19.0,30,4.0,13998480.0
5,Latin America & Caribbean,ATG,Antigua and Barbuda,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,98.0,98.0,99.0,97.0,99.0,92.0,92.0,77.0,"1,449",102,24.0,17.0,49,11.0,24480.0
6,Latin America & Caribbean,ARG,Argentina,97.0,94.0,98.0,94.0,94.0,94.0,95.0,94.0,97.0,94.0,93.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,95.0,94.0,93.0,93.0,93.0,95.0,93.0,93.0,91.0,86.0,86.0,83.0,82.0,80.0,73.0,69.0,"545,866","44,271",25.0,16.0,44,15.0,11067750.0
7,Eastern Europe & Central Asia,ARM,Armenia,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,96.0,96.0,95.0,96.0,97.0,98.0,98.0,98.0,97.0,97.0,93.0,96.0,95.0,98.0,95.0,95.0,95.0,,,,,,,,,,,,,"10,547","2,930",20.0,13.0,50,17.0,586000.0
8,East Asia & Pacific,AUS,Australia,98.0,97.0,92.0,92.0,92.0,92.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,84.0,91.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,97.0,96.0,93.0,91.0,87.0,83.0,78.0,72.0,65.0,58.0,"1,204,616","24,451",19.0,13.0,47,21.0,4645690.0
9,Western Europe,AUT,Austria,99.0,99.0,99.0,99.0,99.0,99.0,98.0,93.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,"386,428","8,735",14.0,11.0,50,25.0,1222900.0
