Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,476336
Afghanistan,AFG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,505180
Albania,ALB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,21337
Albania,ALB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,23048
Algeria,DZA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,445304
Algeria,DZA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,461736
American Samoa,ASM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
American Samoa,ASM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Andorra,AND,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Andorra,AND,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Angola,AGO,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,514488
Angola,AGO,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,522829
Antigua and Barbuda,ATG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,739
Antigua and Barbuda,ATG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,746
Arab World,ARB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Arab World,ARB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Argentina,ARG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,370371
Argentina,ARG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,383852
Armenia,ARM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,18746
Armenia,ARM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,20075
Aruba,ABW,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,431
Aruba,ABW,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,454
Australia,AUS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,149212
Australia,AUS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,156538
Austria,AUT,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,40546
Austria,AUT,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,42572
Azerbaijan,AZE,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,99275
Azerbaijan,AZE,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,118181
"Bahamas, The",BHS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,2739
"Bahamas, The",BHS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,2912
Bahrain,BHR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,10307
Bahrain,BHR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,10457
Bangladesh,BGD,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1515223
Bangladesh,BGD,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1582508
Barbados,BRB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1666
Barbados,BRB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1688
Belarus,BLR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,58931
Belarus,BLR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,62574
Belgium,BEL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,61662
Belgium,BEL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,64808
Belize,BLZ,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,4206
Belize,BLZ,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,4245
Benin,BEN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,179846
Benin,BEN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,184333
Bermuda,BMU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Bermuda,BMU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Bhutan,BTN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,5998
Bhutan,BTN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,6211
Bolivia,BOL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,118272
Bolivia,BOL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,123566
Bosnia and Herzegovina,BIH,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,14446
Bosnia and Herzegovina,BIH,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,15331
Botswana,BWA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,27540
Botswana,BWA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,28176
