iso3,economy,millions of US dollars
USA,United States,"18,569,100"
CHN,China,"11,199,145"
JPN,Japan,"4,939,384"
DEU,Germany,"3,466,757"
GBR,United Kingdom,"2,618,886"
FRA,France,"2,465,454"
IND,India,"2,263,523"
ITA,Italy,"1,849,970"
BRA,Brazil,"1,796,187"
CAN,Canada,"1,529,760"
KOR,"Korea, Rep.","1,411,246"
RUS,Russian Federation,"1,283,162"
ESP,Spain,"1,232,088"
AUS,Australia,"1,204,616"
MEX,Mexico,"1,045,998"
IDN,Indonesia,"932,259"
TUR,Turkey,"857,749"
NLD,Netherlands,"770,845"
CHE,Switzerland,"659,827"
SAU,Saudi Arabia,"646,438"
ARG,Argentina,"545,866"
SWE,Sweden,"511,000"
POL,Poland,"469,509"
BEL,Belgium,"466,366"
THA,Thailand,"406,840"
NGA,Nigeria,"405,083"
IRN,"Iran, Islamic Rep.","393,436"
AUT,Austria,"386,428"
NOR,Norway,"370,557"
ARE,United Arab Emirates,"348,743"
EGY,"Egypt, Arab Rep.","336,297"
HKG,"Hong Kong SAR, China","320,912"
ISR,Israel,"318,744"
DNK,Denmark,"306,143"
PHL,Philippines,"304,905"
SGP,Singapore,"296,966"
MYS,Malaysia,"296,359"
ZAF,South Africa,"294,841"
IRL,Ireland,"294,054"
PAK,Pakistan,"283,660"
COL,Colombia,"282,463"
CHL,Chile,"247,028"
FIN,Finland,"236,785"
BGD,Bangladesh,"221,415"
PRT,Portugal,"204,565"
VNM,Vietnam,"202,616"
GRC,Greece,"194,559"
CZE,Czech Republic,"192,925"
PER,Peru,"192,094"
ROU,Romania,"186,691"
NZL,New Zealand,"185,017"
IRQ,Iraq,"171,489"
DZA,Algeria,"156,080"
QAT,Qatar,"152,469"
KAZ,Kazakhstan,"133,657"
HUN,Hungary,"124,343"
KWT,Kuwait,"114,041"
MAR,Morocco,"101,445"
ECU,Ecuador,"97,802"
SDN,Sudan,"95,584"
UKR,Ukraine,"93,270"
AGO,Angola,"89,633"
SVK,Slovak Republic,"89,552"
CUB,Cuba,"87,133"
LKA,Sri Lanka,"81,322"
ETH,Ethiopia,"72,374"
DOM,Dominican Republic,"71,584"
KEN,Kenya,"70,529"
GTM,Guatemala,"68,763"
MMR,Myanmar,"67,430"
UZB,Uzbekistan,"67,220"
OMN,Oman,"66,293"
LUX,Luxembourg,"59,948"
CRI,Costa Rica,"57,436"
PAN,Panama,"55,188"
URY,Uruguay,"52,420"
BGR,Bulgaria,"52,395"
HRV,Croatia,"50,425"
LBN,Lebanon,"47,537"
BLR,Belarus,"47,433"
TZA,Tanzania,"47,431"
MAC,"Macao SAR, China","44,803"
SVN,Slovenia,"43,991"
LTU,Lithuania,"42,739"
GHA,Ghana,"42,690"
TUN,Tunisia,"42,063"
JOR,Jordan,"38,655"
AZE,Azerbaijan,"37,848"
SRB,Serbia,"37,745"
TKM,Turkmenistan,"36,180"
CIV,Côte d'Ivoire,"36,165"
COD,"Congo, Dem. Rep.","34,999"
BOL,Bolivia,"33,806"
BHR,Bahrain,"31,859"
LVA,Latvia,"27,677"
PRY,Paraguay,"27,441"
YEM,"Yemen, Rep.","27,318"
SLV,El Salvador,"26,797"
UGA,Uganda,"25,528"
CMR,Cameroon,"24,204"
EST,Estonia,"23,137"
HND,Honduras,"21,517"
NPL,Nepal,"21,144"
TTO,Trinidad and Tobago,"20,989"
ISL,Iceland,"20,047"
KHM,Cambodia,"20,017"
CYP,Cyprus,"19,802"
ZMB,Zambia,"19,551"
AFG,Afghanistan,"19,469"
PNG,Papua New Guinea,"16,929"
BIH,Bosnia and Herzegovina,"16,560"
ZWE,Zimbabwe,"16,289"
LAO,Lao PDR,"15,903"
BWA,Botswana,"15,275"
SEN,Senegal,"14,765"
GEO,Georgia,"14,333"
GAB,Gabon,"14,214"
MLI,Mali,"14,045"
JAM,Jamaica,"14,027"
PSE,West Bank and Gaza,"13,397"
NIC,Nicaragua,"13,231"
MUS,Mauritius,"12,164"
BFA,Burkina Faso,"12,115"
ALB,Albania,"11,927"
BRN,Brunei Darussalam,"11,400"
MNG,Mongolia,"11,160"
MOZ,Mozambique,"11,015"
MLT,Malta,"10,949"
MKD,"Macedonia, FYR","10,900"
ARM,Armenia,"10,547"
NAM,Namibia,"10,267"
GNQ,Equatorial Guinea,"10,179"
MDG,Madagascar,"9,991"
TCD,Chad,"9,601"
BHS,"Bahamas, The","9,047"
SSD,South Sudan,"9,015"
BEN,Benin,"8,583"
RWA,Rwanda,"8,376"
HTI,Haiti,"8,023"
COG,"Congo, Rep.","7,834"
NER,Niger,"7,509"
IMN,Isle of Man,"7,428"
TJK,Tajikistan,"6,952"
MDA,Moldova,"6,750"
LIE,Liechtenstein,"6,664"
XKX,Kosovo,"6,650"
KGZ,Kyrgyz Republic,"6,551"
GIN,Guinea,"6,299"
SOM,Somalia,"6,217"
GUM,Guam,"5,734"
MWI,Malawi,"5,442"
MRT,Mauritania,"4,635"
FJI,Fiji,"4,632"
BRB,Barbados,"4,588"
TGO,Togo,"4,400"
MNE,Montenegro,"4,173"
VIR,Virgin Islands (U.S.),"3,765"
SWZ,Swaziland,"3,727"
SLE,Sierra Leone,"3,669"
SUR,Suriname,"3,621"
MDV,Maldives,"3,591"
GUY,Guyana,"3,446"
BDI,Burundi,"3,007"
BTN,Bhutan,"2,237"
GRL,Greenland,"2,220"
LSO,Lesotho,"2,200"
LBR,Liberia,"2,101"
BLZ,Belize,"1,765"
CAF,Central African Republic,"1,756"
DJI,Djibouti,"1,727"
CPV,Cabo Verde,"1,617"
ATG,Antigua and Barbuda,"1,449"
TLS,Timor-Leste,"1,442"
SYC,Seychelles,"1,427"
LCA,St. Lucia,"1,379"
SLB,Solomon Islands,"1,202"
GNB,Guinea-Bissau,"1,126"
GRD,Grenada,"1,016"
GMB,"Gambia, The",965
MNP,Northern Mariana Islands,922
KNA,St. Kitts and Nevis,917
WSM,Samoa,786
VUT,Vanuatu,774
VCT,St. Vincent and the Grenadines,771
ASM,American Samoa,641
COM,Comoros,617
DMA,Dominica,525
TON,Tonga,395
STP,São Tomé and Principe,351
FSM,"Micronesia, Fed. Sts.",322
PLW,Palau,293
MHL,Marshall Islands,183
KIR,Kiribati,166
NRU,Nauru,102
TUV,Tuvalu,34
,,
AND,Andorra, .. 
ABW,Aruba, .. 
BMU,Bermuda, .. 
VGB,British Virgin Islands, .. 
CYM,Cayman Islands, .. 
CHI,Channel Islands, .. 
CUW,Curaçao, .. 
ERI,Eritrea, .. 
FRO,Faroe Islands, .. 
PYF,French Polynesia, .. 
GIB,Gibraltar, .. 
PRK,"Korea, Dem. People's Rep.", .. 
LBY,Libya, .. 
MCO,Monaco, .. 
NCL,New Caledonia, .. 
PRI,Puerto Rico, .. 
SMR,San Marino, .. 
SXM,Sint Maarten (Dutch part), .. 
MAF,St. Martin (French part), .. 
SYR,Syrian Arab Republic, .. 
TCA,Turks and Caicos Islands, .. 
VEN,"Venezuela, RB", .. 
,,
,,
WLD,World,"75,641,577"
,,
EAS,East Asia & Pacific,"22,477,425"
ECS,Europe & Central Asia,"20,162,858"
LCN,Latin America & Caribbean,"5,294,928"
MEA,Middle East & North Africa,"3,111,499"
NAC,North America,"20,104,905"
SAS,South Asia,"2,896,361"
SSF,Sub-Saharan Africa,"1,498,001"
LIC,Low income,"405,501"
LMC,Lower middle income,"6,252,244"
UMC,Upper middle income,"20,570,823"
HIC,High income,"48,407,640"
