unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,PCV3,65,65,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,PCV3,98,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,PCV3,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,PCV3,92,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,PCV3,58,58,45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,PCV3,82,82,89,86,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,PCV3,94,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,PCV3,94,93,91,91,91,91,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,PCV3,97,94,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,PCV3,94,95,96,97,37,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,PCV3,99,98,98,99,99,99,99,96,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,PCV3,97,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,PCV3,96,97,90,87,84,81,78,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,PCV3,94,94,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,PCV3,75,75,71,70,67,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),PCV3,97,96,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,PCV3,95,95,95,72,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,PCV3,94,94,93,94,88,82,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,PCV3,90,90,92,94,94,94,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,PCV3,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,PCV3,94,94,95,96,96,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,PCV3,87,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,PCV3,84,85,87,88,84,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,CAN,Canada,PCV3,79,79,79,79,73,66,58,50,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CAF,Central African Republic,PCV3,47,47,47,23,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TCD,Chad,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CHL,Chile,PCV3,90,90,92,79,82,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,CHN,China,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,PCV3,89,91,89,87,84,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,COM,Comoros,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,PCV3,80,80,85,85,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,COK,Cook Islands,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,PCV3,94,94,83,94,89,68,94,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Côte d’Ivoire,PCV3,83,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,PCV3,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CZE,Czech Republic,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People’s Republic of Korea,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,PCV3,77,73,61,31,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,PCV3,94,91,93,90,93,90,88,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,PCV3,82,82,78,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,PCV3,30,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,PCV3,84,81,86,90,94,71,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,PCV3,90,98,86,92,94,98,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,PCV3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,PCV3,76,76,76,63,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,PCV3,99,99,99,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,PCV3,87,92,92,92,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,PCV3,91,90,89,89,89,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,PCV3,95,97,96,96,98,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,PCV3,75,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,PCV3,86,86,86,86,86,86,86,85,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,PCV3,93,88,99,89,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,PCV3,96,96,96,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,PCV3,81,82,51,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,PCV3,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,PCV3,92,94,97,96,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,PCV3,97,97,97,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,PCV3,98,91,93,92,90,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,PCV3,90,91,90,88,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
