"Region, country or area", Total (in thousdands) , Male , Female , 0-14 (percentage) , 15-24 , 25-59 , 60+ ,Number under age 14
World," 7,550,262 "," 3,808,932 "," 3,741,330 ", 26 , 16 , 46 , 13 ," 1,963,068,120 "
Africa," 1,256,268 "," 627,392 "," 628,876 ", 41 , 19 , 35 , 5 ," 515,069,880 "
Asia," 4,504,428 "," 2,304,731 "," 2,199,697 ", 24 , 16 , 48 , 12 ," 1,081,062,720 "
Europe," 742,074 "," 358,540 "," 383,534 ", 16 , 11 , 49 , 25 ," 118,731,840 "
Latin America and the Caribbean," 645,593 "," 319,085 "," 326,508 ", 25 , 17 , 46 , 12 ," 161,398,250 "
Northern America," 361,208 "," 178,828 "," 182,380 ", 19 , 13 , 46 , 22 ," 68,629,520 "
Oceania," 40,691 "," 20,356 "," 20,335 ", 23 , 15 , 45 , 17 ," 9,358,930 "
Afghanistan," 35,530 "," 18,310 "," 17,220 ", 43 , 21 , 31 , 4 ," 15,277,900 "
Albania," 2,930 "," 1,479 "," 1,451 ", 17 , 16 , 48 , 19 ," 498,100 "
Algeria," 41,318 "," 20,866 "," 20,452 ", 29 , 15 , zz , 9 ," 11,982,220 "
American Samoa, 56 ,,,,,,, -   
Andorra, 77 ,,,,,,, -   
Angola," 29,784 "," 14,605 "," 15,179 ", 47 , 19 , 30 , 4 ," 13,998,480 "
Anguilla, 15 ,,,,,,, -   
Antigua and Barbuda, 102 , 49 , 53 , 24 , 17 , 49 , 11 ," 24,480 "
Argentina," 44,271 "," 21,668 "," 22,603 ", 25 , 16 , 44 , 15 ," 11,067,750 "
Armenia," 2,930 "," 1,378 "," 1,552 ", 20 , 13 , 50 , 17 ," 586,000 "
Aruba, 105 , 50 , 55 , 18 , 14 , 48 , 20 ," 18,900 "
Australia," 24,451 "," 12,181 "," 12,270 ", 19 , 13 , 47 , 21 ," 4,645,690 "
Austria," 8,735 "," 4,283 "," 4,452 ", 14 , 11 , 50 , 25 ," 1,222,900 "
